"offer","brand","description","category","activated_date","expiration_date","url"
"$3.00 OFF","GOLD BOND®","ONE (1) GOLD BOND® Aging Skin product (not valid on 1oz, trial or travel sizes)","Personal Care > Skin Care > Hand & Body Lotion","2020-05-03T00:01:00-0700","2020-06-21T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $5.00","Philips Sonicare","on any ONE (1) Philips Sonicare for Kids Electric Toothbrush","Personal Care > Oral Care > Toothbrush","2020-05-03T00:01:00-0700","2020-05-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Darigold FIT","on ONE (1) 59oz Darigold FIT","Foods > Dairy > Dairy Drinks","2020-02-18T00:01:00-0800","2020-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $5.00","Philips Sonicare","on ONE (1) Philips Sonicare ProtectiveClean 4100 or DailyClean 2100 Electric Toothbrush or Philips Sonicare AirFloss","Personal Care > Oral Care > Dental Care","2020-05-03T00:01:00-0700","2020-05-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Children's BENADRYL®","when you buy ONE (1) Children's BENADRYL® product, any variety. Excludes trial & travel sizes","Health Care > Cough/Cold Remedies > Cough/Cold: Children","2020-05-03T00:01:00-0700","2020-05-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","Pace® Salsa or Picante Sauce","off ONE (1) jar of Pace® Salsa or Picante Sauce","Foods > Dips > Dips Related","2020-04-27T00:01:00-0700","2020-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 75¢","Windex®","on any ONE (1) Windex® Product","Household > Household Cleaners/ Supplies > Cleaning Supplies","2020-04-05T00:01:00-0700","2020-07-01T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Glad Trash","on any ONE (1) 13 Gallon Glad® ForceFlex Plus Beachside Breeze or Sweet Citron & Lime","Household > Bags & Wraps > Plastic Bags","2020-04-17T00:01:00-0700","2020-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.50","Glade®","on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only","Household > Household Cleaners/ Supplies > Air, Rug & Fabric Care","2020-05-01T00:01:00-0700","2020-06-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris®","ANY ONE (1) L'Oreal Paris® EVER shampoo, conditioner or treatment (excludes 3 oz. trial size, sheet masks, value packs and kits)","Personal Care > Hair Care > Women","2020-04-26T00:01:00-0700","2020-05-24T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","METAMUCIL®","ONE Metamucil Product (excludes trial/travel sizes)","Health Care > Dietary Supplements > Dietary Supplements","2020-05-01T00:01:00-0700","2020-06-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 55¢","OFF!®","on any ONE (1) OFF!® Product (Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® products)","Household > Pest Control > Pest Control","2020-04-05T00:01:00-0700","2020-07-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $5.00","Claritin®","off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger","Health Care > Cough/Cold Remedies > Cough/Cold: Adult","2020-04-26T00:01:00-0700","2020-05-09T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
